Label,Message,Message_Length,Word_Count,Sentence_Count,Transformed_Message,Clean_Length
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",111,20,9,go jurong point crazi avail bugi n great world la e buffet cine got amor wat,76
ham,Ok lar... Joking wif u oni...,29,6,7,ok lar joke wif u oni,21
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,155,28,2,free entri wkli comp win fa cup final tkt st may text fa receiv entri questionstd txt ratetc appli over,103
ham,U dun say so early hor... U c already then say...,49,11,7,u dun say earli hor u c alreadi say,35
ham,"Nah I don't think he goes to usf, he lives around here though",61,13,1,nah dont think goe usf live around though,41
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",148,32,2,freemsg hey darl week word back id like fun still tb ok xxx std chg send å£ rcv,79
ham,Even my brother is not like to speak with me. They treat me like aids patent.,77,16,3,even brother like speak treat like aid patent,45
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,26,2,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,104
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,158,26,4,winner valu network custom select receivea å£ prize reward claim call claim code kl valid hour,94
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,154,29,1,mobil month u r entitl updat latest colour mobil camera free call mobil updat co free,85
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",109,21,2,im gonna home soon dont want talk stuff anymor tonight k ive cri enough today,77
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",136,26,2,six chanc win cash pound txt csh send cost pday day tsandc appli repli hl info,78
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",156,26,3,urgent week free membership å£ prize jackpot txt word claim tc lccltd pobox ldnwarw,83
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,196,37,4,ive search right word thank breather promis wont take help grant fulfil promis wonder bless time,96
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,35,8,1,date sunday,11
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",149,19,3,xxxmobilemovieclub use credit click wap link next txt messag click xxxmobilemovieclubcomnqjkgighjjgcbl,102
ham,Oh k...i'm watching here:),26,4,4,oh kim watch,12
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,81,19,6,eh u rememb spell name ye v naughti make v wet,46
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,58,13,2,fine thatåõ way u feel thatåõ way gota b,40
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",156,24,3,england v macedonia dont miss goalsteam news txt ur nation team eg england trywal scotland txtì¼ poboxoxwwq,107
ham,Is that seriously how you spell his name?,41,8,1,serious spell name,18
ham,IÛ÷m going to try for 2 months ha ha only joking,49,11,1,iû÷m go tri month ha ha joke,29
ham,So Ì_ pay first lar... Then when is da stock comin...,53,11,7,ì pay first lar da stock comin,30
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,88,20,3,aft finish lunch go str lor ard smth lor u finish ur lunch alreadi,66
ham,Ffffffffff. Alright no way I can meet up with you sooner?,57,11,2,ffffffffff alright way meet sooner,34
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,144,28,6,forc eat slice im realli hungri tho suck mark get worri know im sick turn pizza lol,83
ham,Lol your always so convincing.,30,5,2,lol alway convinc,17
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,134,32,1,catch bu fri egg make tea eat mom left dinner feel love,55
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",75,15,1,im back amp pack car ill let know there room,44
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,64,12,3,ahhh work vagu rememb feel like lol,35
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",130,26,1,wait that still clear sure sarcast that x doesnt want live us,61
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,189,41,4,yeah got v apologet n fallen actin like spoilt child got caught till wont go badli cheer,88
ham,K tell me anything about you.,29,6,2,k tell anyth,12
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,84,17,1,fear faint housework quick cuppa,32
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,159,29,2,thank subscript rington uk mobil charg å£month pleas confirm repli ye repli charg,81
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,123,28,7,yup ok go home look time msg ì xuhui go learn nd may lesson,59
ham,"Oops, I'll let you know when my roommate's done",47,9,1,oop ill let know roommat done,29
ham,I see the letter B on my car,28,8,1,see letter b car,16
ham,Anything lor... U decide...,27,4,7,anyth lor u decid,17
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,155,30,2,hello how saturday go text see youd decid anyth tomo im tri invit anyth,71
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,82,17,4,pl go ahead watt want sure great weekend abiola,47
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",142,34,13,forget tell want need crave love sweet arabian steed mmmmmm yummi,65
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,172,33,2,rodger burn msg tri call repli sm free nokia mobil free camcord pleas call deliveri tomorrow,92
ham,WHO ARE YOU SEEING?,19,4,1,see,3
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,72,13,5,great hope like man well endow ltgt inch,40
ham,No calls..messages..missed calls,32,3,5,callsmessagesmiss call,22
ham,Didn't you get hep b immunisation in nigeria.,45,8,2,didnt get hep b immunis nigeria,31
ham,"Fair enough, anything going on?",31,5,1,fair enough anyth go,20
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",67,14,1,yeah hope tyler cant could mayb ask around bit,46
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,148,30,5,u dont know stubborn didnt even want go hospit kept tell mark im weak sucker hospit weak sucker,95
ham,What you thinked about me. First time you saw me in class.,58,12,3,think first time saw class,26
